,dots-comparison_LISAS_correct,match-sample_LISAS_correct,match-sample-rotate_LISAS_correct,match-points-number_LISAS_correct,symbolic-magnitude_LISAS_correct,numeric-line_LISAS_correct,counting_LISAS_correct,counting-true_LISAS_correct,simple-arithmetic-plus_LISAS_correct,simple-arithmetic-minus_LISAS_correct
61,2182.5,11199.997999074641,3435.603567451314,6280.1,3867.8538574026707,8010.104900332078,6548.111111111111,6892.0,9579.9,12514.11505944833
62,6789.131308343245,7709.418452364294,9533.667053282166,5205.2,1821.8,28502.937604761624,5110.555555555556,9216.21052631579,20519.684428132343,43918.8703971605
63,2349.059581937398,5402.464724197076,6021.4844142217235,7800.770842277365,1808.5,4571.0,8114.423981782269,7702.88821902655,2891.4,3743.95
64,4432.9,8142.174566469245,5624.1680748656345,4790.6,1514.3,4012.9,4474.407374830717,6109.659815884719,4869.9,4604.25
65,1086.5,4154.787002003628,4215.431983896277,3293.560216370817,1045.2,3054.303831334678,1417.7777777777778,2919.061389786366,1289.6,1526.55
66,3061.6,6775.34538395837,7283.18536670267,4218.9,1326.1,5608.59043050186,7114.011247622972,8935.71918141221,4201.7,15572.18923106001
67,9079.334231071765,4948.727433678396,5161.342567800494,8741.336795212037,1832.1,14183.691594853371,9080.541885912155,21631.032042996772,8526.8,9412.1
68,7853.9,15883.139438089704,7717.289067387205,5800.4,1672.3,8571.303430478354,7175.111111111111,7644.684210526316,20009.281525597908,44388.38221657937
69,2983.0,18963.522249111607,9594.031388980971,4379.4,2451.9,8735.214979272092,10838.7117637181,16519.75879337612,15899.269792453462,21214.518987456133
70,1522.2,16975.154879254507,7635.438773336624,6667.4,2419.6,2666.0,5078.883521455307,6383.395573522885,6528.3,7976.1
71,1686.4,11099.402898632663,6607.709212496284,4435.7,6242.801228223219,5438.3808191919015,15947.028195419207,19469.830868739355,36522.27802953749,34139.25667458859
72,1588.1,9109.15585770095,17304.20054949287,5042.8,1709.7,2954.0,3675.6666666666665,19663.55565958833,10372.8,36993.133250549545
73,7463.6,17144.967756400896,7305.529318014647,4868.3,2458.0,13913.89744429369,4413.444444444444,8620.370858764423,11525.38288805206,21812.26316113818
74,3411.6,8793.828770426231,5484.123265018284,8320.6,5291.976579449038,12716.38875594239,5138.333333333333,5912.8421052631575,7199.8,44649.000934374664
75,3318.2568746053544,3591.400316639283,3854.127306515748,8599.7632508918,1162.8,3907.3072482887073,3236.8888888888887,7273.191147925372,4518.2872858746305,11439.438108170989
76,1707.4,5716.777777777777,9340.122072989107,5187.4,1506.5,20497.38783298635,4223.333333333333,4496.631578947368,7414.7,11272.4
77,23922.90453799849,12867.71624989917,9024.302827638654,5997.0,3778.1721561222284,8098.736636546157,11975.504655768302,29289.349090996075,25683.520048988554,22683.019943442065
78,1898.9,5212.701150989107,4917.49442705383,3527.5,1871.3,6841.340457060218,7137.266128268429,8113.148562689239,25253.086100770714,
79,14741.25414334578,7778.344134727151,9884.636371583298,9849.969916719972,2786.5520072935265,8381.613618402502,4600.444444444444,4537.1578947368425,8125.6,22788.233521826085
80,2626.7,5298.818753304485,3864.4237198195465,3600.742637228624,2537.2,7452.58928060601,10198.593027981298,9615.131278596687,8683.587767040595,8007.09977816251
81,3409.3,,5725.909631084718,4805.4,1962.4,5663.3016125674,4190.666666666667,4666.421052631579,9530.6,57892.14410134328
82,,4822.9503066472125,7968.718195314354,5803.6,1723.4,6638.549536727984,4791.666666666667,4828.684210526316,9279.44209949254,12384.105674298225
83,2970.3,13670.6714503031,6445.216739948866,5558.0,1852.8,10482.821129513179,3935.5555555555557,13261.581666532507,11747.6,11429.45
84,12478.006289713423,5288.247397255399,6631.119276270057,3935.12646079986,2558.890376201233,16525.166605961713,5249.333333333333,6119.0,7366.8,21995.12726509619
85,4602.7,12028.303180032277,8028.523229302731,5311.2,1531.5,14957.393208198286,3952.6666666666665,4462.526315789473,4537.7,23461.761084847578
