,dots-comparison_LISAS,match-sample_LISAS,match-sample-rotate_LISAS,match-points-number_LISAS,symbolic-magnitude_LISAS,numeric-line_LISAS,counting_LISAS,counting-true_LISAS,simple-arithmetic-plus_LISAS,simple-arithmetic-minus_LISAS
63,2804.2241237098197,5307.102796870442,5881.040181772092,7648.271319522661,1808.5,7711.580714326953,7961.617957445462,7419.20728413986,2891.4,3743.95
64,4432.9,9539.942414158302,6006.922524422175,4790.6,1514.3,3920.914286,4288.118694181832,5959.242190215894,4869.9,4604.25
65,1086.5,4172.397178814046,4047.0969408541223,3114.6167812743015,1045.2,2970.8658660404944,1417.777778,2953.8086628782003,1289.6,1526.55
66,3061.6,6700.15018056869,7631.74904001475,4218.9,1326.1,5506.829305783469,8077.778364198733,9473.528932696463,4201.7,15267.301779404306
67,8857.573341566236,4831.861177276666,4846.5263399204505,8461.601087692863,1832.1,13746.566746656536,8917.8656177349,21288.341110716745,8526.8,9412.1
68,7853.9,13466.152100509498,16308.967734997426,5800.4,1672.3,11326.326308213895,7175.111111,7644.684211,20598.4831083983,44870.19484408531
69,2983.0,18018.321746470345,9248.463461156793,4379.4,2451.9,9352.79313934957,10715.144039493654,16385.8146242956,15486.585111541106,20863.060072650143
70,1522.2,13467.99403399251,7925.675359866639,6667.4,2419.6,3867.7563946269865,5092.667086680832,6338.7416764230975,6528.3,7976.1
71,1686.4,8035.770933982935,9144.139388852185,4435.7,6025.049310711498,9252.997055034151,15083.256708002213,19076.56434404043,33675.391470513685,32499.816029865757
72,1588.1,8102.666543055366,15301.889568250079,5042.8,1709.7,6959.120968872946,3675.666667,19121.917207179045,10372.8,36354.94949272773
73,7463.6,14857.065009820002,8299.76912632788,4868.3,2458.0,15087.213834442984,4413.444444,16145.719935850542,23517.79476926114,25746.374469989307
74,3411.6,7649.690464858889,6896.581343121767,8320.6,5140.081164676387,15523.563672567321,5138.333333,5912.842105,7199.8,62756.452294278686
75,3595.87321094622,6619.719575321947,7402.526045208919,9007.986273575934,1162.8,7234.707374816418,3236.888889,9461.650447491467,4710.040367846462,8220.895634020557
76,1707.4,5641.7,9131.982983833648,5187.4,1506.5,17531.501767878915,4223.333333,4496.631579,7414.7,11272.4
77,26101.12854743254,12114.003348070913,8212.61218071427,5997.0,4285.425321259278,15638.853892984487,12309.613743077287,27540.344646788755,39769.23152042896,29993.117157788234
78,1898.9,5251.769906905406,4849.708413997665,3527.5,1871.3,5582.490533858968,8901.728641570753,14834.937768710673,24626.21622448397,
79,14184.565147304456,7480.61733209796,9092.294451925834,9610.074942734876,2739.284673977687,8589.054463780114,4600.444444,4537.157895,8125.6,23473.859031847256
80,2626.7,4745.209794399201,3715.8068937806565,3535.7070974629964,2537.2,7357.914810414631,9528.042746227538,9410.622786039716,14110.88423809112,14489.732491086099
81,3409.3,,5596.634600028308,4805.4,1962.4,12545.627387446428,4190.666667,4666.421053,9530.6,56934.61617807335
82,,4632.443930383149,6491.497270731754,5803.6,1723.4,7339.247587303212,4791.666667,4828.684211,10905.411224399573,17717.814191612102
83,2970.3,12999.302857098763,5551.411717958892,5558.0,1852.8,10858.042477980795,3935.555556,13035.977841879961,11747.6,11429.45
84,12089.088036653278,5240.795401833501,5849.502627415914,5316.229846933138,3006.235337264319,10946.792796892723,5249.333333,6119.0,7366.8,21326.539567187305
85,4602.7,10074.499806300486,7706.845218083939,5311.2,1531.5,25073.44860104849,3952.666667,4462.526316,4537.7,23492.629757273906
86,3768.2,23116.07948012722,5179.3,9379.240857208264,2080.6,9207.954430095095,6449.555556,25801.808217428217,10311.9,22674.05613429033
87,19639.1,7617.888844540543,9354.063400445855,7081.1,12215.340891651267,6405.592657734205,9832.333333,18004.700521766492,13055.7,20756.089815044434
88,1907.6,3835.8505555207316,5548.08577528488,9523.770448791609,1820.8,7090.446648203614,7750.428125976803,6557.859453680875,5089.675707666494,4888.7253675087795
89,1981.6,5025.172448534803,5355.807463847088,5220.5,3008.9,12839.695661536865,8364.842160454325,13923.416004382285,26552.235672176783,37578.54671540686
90,5121.8,6356.24486394025,4109.409318720588,3361.9,1586.9,6725.338353831073,14131.822834021086,29971.28286893451,21447.767030228802,20613.263688965773
91,1862.3,7620.744477792532,4800.081816420838,8472.71048898706,3445.398743766892,8622.418674834586,5670.555556,12540.221694279513,8966.9,13158.192161631254
92,2522.5229868540873,3977.232105733416,3810.058738864773,4614.140155373222,2852.840736779095,9987.1799242167,14625.242603489325,16595.96309312746,23229.677638626534,22687.215161907152
93,11108.294732230988,5980.464727168576,9044.643987685704,11348.787479467424,3179.0,13864.939940411536,29852.270991813108,40256.858196971945,36247.77041996759,34482.015123666235
94,9322.721477304214,7899.148933433599,9003.997211798312,9320.3,7454.924370993369,4254.88636861005,6612.111111,9207.210526,23068.09282215019,31436.25215972365
95,22823.36787232141,3524.013430159561,3602.650660120612,10130.03427656354,1802.5,10761.597249450737,11733.212296660924,10640.800642055223,7497.6,44774.46121876754
96,2863.209752091121,5364.4,3979.2,10319.497016474048,2124.3,8594.547818514478,6017.333333,6229.157895,10225.6,29331.484372163322
97,2744.0,5857.113337558938,5129.58567249015,4970.9,6094.728082902782,12339.863177700998,6234.0,20697.984496749705,20181.6,35353.96553627149
98,6747.074245556998,20179.38118571782,19517.1332614251,18582.5134493491,4912.967005504164,14231.830796521403,20945.97619349934,17727.122844366015,29768.967515222463,23674.627112004484
99,1869.5,6852.664174246249,12160.330197953885,9106.99429051228,5271.309208626873,10213.05195410116,13274.744274175457,11694.042463185362,6622.9,20947.19357007828
100,1516.0,4446.749599530492,4842.115075145182,4854.2,2154.7,5955.001889812056,3871.666667,8962.84316056381,15422.125366422646,17491.3256444092
101,1835.8,6116.762847416292,6192.573344261802,10154.262497778956,1886.4,5779.155890534057,11915.986050330559,17226.759671935644,12303.0,18956.188003827887
102,3295.9,5321.136774690817,4899.920649391732,6044.9,2468.9,7713.6315847664455,5121.777778,19713.734408511238,45799.363580987585,25817.639523265512
103,6413.5496976807335,14502.597921793975,5251.8191115166155,14548.206421322111,16056.397048973959,18592.36336314832,6815.666667,35073.89063504015,36604.17522193595,48741.31629986706
105,1996.8,6708.546663923737,4850.568420773155,12151.344809051767,3204.4030908533805,3939.3695456872956,4677.0,12087.023507294747,32498.544082080123,16390.749730114912
106,1979.9,12671.050695317845,4807.866800071177,9528.08398075229,5310.8806555055335,5141.479834923206,6165.555556,7937.0,11113.2,23747.59868817011
107,2855.921531174038,5288.977333785436,5002.072509870655,13355.281016642004,1231.2,5475.236291892515,4716.222222,5373.315789,6441.3,24679.989616309394
108,2950.2,4444.326094222694,4367.5,16341.606388607066,2011.5,11251.405005485118,5798.222222,24400.175212475857,19776.0,16866.42364877541
109,5434.2,5826.027172262439,4101.613856455313,5080.9,6006.139301346429,13741.25219991718,7769.111111,9541.105263,29096.416262365667,20028.7439096575
110,7742.6304769965245,9405.274309383283,6314.293106087564,,1741.2,6821.211373742379,5889.666667,17374.994489698805,14176.422880440907,43669.550174917924
